"Reservoir","Site","Date","Genus","Depth_m","BV_um3mL"
"FCR","50","2016-04-25","Ankistrodesmus","5",17513.6130097331
"FCR","50","2016-04-25","Aphanocapsa","5",2467.40110027234
"FCR","50","2016-04-25","Asterionella","5",12835.1203166412
"FCR","50","2016-04-25","Chlorophyte sp. 1","5",19153.201040864
"FCR","50","2016-04-25","Cryptomonas","5",6932.71170257075
"FCR","50","2016-04-25","Dinobryon","5",8910.05952876122
"FCR","50","2016-04-25","Dolichospermum","5",6199.34526443425
"FCR","50","2016-04-25","Elakatothrix","5",236.459272109433
"FCR","50","2016-04-25","Parvodinium","5",986.960440108936
"FCR","50","2016-04-25","Pseudanabaena","5",3469.78279725798
"FCR","50","2016-04-25","Rhodomonas","5",2220.66099024511
"FCR","50","2016-04-25","Synedra","5",17998.7079111915
"FCR","50","2016-05-02","Ankistrodesmus","6.2",15109.1906090722
"FCR","50","2016-05-02","Aphanocapsa","6.2",114.231532420016
"FCR","50","2016-05-02","Asterionella","6.2",51530.9346397446
"FCR","50","2016-05-02","Chlorophyte sp. 1","6.2",23902.9481588883
"FCR","50","2016-05-02","Cryptomonas","6.2",50401.4905822091
"FCR","50","2016-05-02","Cyclotella","6.2",14690.8890162916
"FCR","50","2016-05-02","Dinobryon","6.2",42808.2667744009
"FCR","50","2016-05-02","Dolichospermum","6.2",1597.64221242634
"FCR","50","2016-05-02","Elakatothrix","6.2",1199.43109041016
"FCR","50","2016-05-02","Parvodinium","6.2",31413.6714155043
"FCR","50","2016-05-02","Pseudanabaena","6.2",5825.8081534208
"FCR","50","2016-05-02","Rhodomonas","6.2",17271.8077019064
"FCR","50","2016-05-02","Synedra","6.2",91629.7857297023
"FCR","50","2016-05-09","Ankistrodesmus","5",21037.9205332657
"FCR","50","2016-05-09","Aphanocapsa","5",161.268045769434
"FCR","50","2016-05-09","Chlorophyte sp. 1","5",12300.7201910636
"FCR","50","2016-05-09","Cryptomonas","5",22711.9164458619
"FCR","50","2016-05-09","Dictyosphaerium","5",1306.27117073242
"FCR","50","2016-05-09","Dinobryon","5",36365.9443210074
"FCR","50","2016-05-09","Dolichospermum","5",86181.6436591855
"FCR","50","2016-05-09","Elakatothrix","5",532.184551039132
"FCR","50","2016-05-09","Parvodinium","5",12840.9681443912
"FCR","50","2016-05-09","Pseudanabaena","5",7861.81723125991
