"Date","Chem_Depth_m","Cmax_SRP_ugL","Cmax_DIN_ugL","Cmax_DOC_mgL","Grab_Chem_Depth_m","Grab_SRP_ugL","Grab_DIN_ugL","Grab_DOC_mgL","SRPmax_depth_m","SRPmax_ugL","DINmax_depth_m","DINmax_ugL","DOCmax_depth_m","DOCmax_mgL","pz_SRP_mean","pz_DIN_mean","pz_DOC_mean","pz_SRP_CV","pz_DIN_CV","pz_DOC_CV"
"2016-04-25","6.2","5","11","1.6","5","5","5","1.7","1.6","6","6.2","11","1.6","1.8","5.2","6.8","1.68","0.09","0.37","0.05"
"2016-05-02","6.2","5","17","1.7","6.2","5","17","1.7","3.8","8","8","41",NA,NA,"6.5","14.6666666666667","1.68333333333333","0.19","0.92","0.02"
"2016-05-09","5","7","6","1.7","5","7","6","1.7",NA,NA,"6.2","36","0.1","1.9","6.2","13","1.8","0.13","0.99","0.04"
"2016-05-16","6.2","9","16","1.3","5","10","4","1.4","0.1","12","6.2","16","3.8","1.7","9","9","1.48","0.33","0.6","0.1"
"2016-05-23","6.2",NA,NA,"1.4","6.2",NA,NA,"1.4","3.8","16","0.1","24",NA,NA,"10.75","13.5","1.56","0.33","0.64","0.09"
"2016-05-30","5","12","9","1.7","6.2","3","16","1.3",NA,NA,"1.6","52","5","1.7","9.25","17.5","1.6","0.46","1.32","0.05"
"2016-06-06","3.8","7","17","1.6","3.8","7","17","1.6","5","15","0.1","19","0.1","1.9","9","14.25","1.725","0.45","0.37","0.07"
"2016-06-13","5","12","9","1.8","5","12","9","1.8","3.8","14","0.1","13","0.1","2.1","11.8","10.4","1.86","0.15","0.16","0.12"
"2016-06-20","3.8","14","10","2.2","3.8","14","10","2.2","3.8","14","5","11","3.8","2.2","9.75","8.5","1.975","0.32","0.28","0.11"
"2016-06-27","5","4","10","1.6","5","4","10","1.6",NA,NA,"0.1","11","3.8","2.1","6.75","8.75","1.925","0.28","0.24","0.12"
"2016-07-05","3.8","7","14","1.8","3.8","7","14","1.8","1.6","10","8","55","0.1","2","7","23","1.68571428571429","0.31","0.95","0.11"
"2016-07-11","3.8","11","12","1.7","3.8","11","12","1.7","0.1","12","6.2","22","0.1","2","10.1666666666667","13.6666666666667","1.81666666666667","0.18","0.33","0.08"
"2016-07-18","3.8","9","4","1.6","3.8","9","4","1.6",NA,NA,"5","13","1.6","2.1","10.5","6.75","1.825","0.16","0.62","0.12"
"2016-07-25","6.2","7","93","2.5","6.2","7","93","2.5","3.8","13","5","11","0.1","3.7","10.75","8.5","2.425","0.21","0.28","0.36"
"2016-08-01","6.2","13","5","2.1","6.2","13","5","2.1","5","14","3.8","15","3.8","2.4","11","12.25","2.125","0.27","0.18","0.1"
"2016-08-08","5","13","16","2.5","5","13","16","2.5","5","13","3.8","30","3.8","4.1","10.5","21","2.925","0.2","0.43","0.3"
"2016-08-15","5","7","72","1.8","5","7","72","1.8",NA,NA,"5","72",NA,NA,"8.5","26.6666666666667","1.98333333333333","0.43","0.86","0.1"
"2016-08-26","3.8","10","19","2.9","3.8","10","19","2.9","0.1","16","5","73","5","3.4","11.5","29.75","2.675","0.39","0.98","0.22"
"2016-09-02","3.8","11","9","2.1","3.8","11","9","2.1","1.6","12","3.8","9","5","2.4","10","7.5","2.225","0.22","0.17","0.06"
"2016-09-09","3.8","13","12","7.3","3.8","13","12","7.3","3.8","13","3.8","12","3.8","7.3","11.6666666666667","9.66666666666667","4.33333333333333","0.1","0.26","0.61"
"2016-09-20","5","12","8","3.2","5","12","8","3.2",NA,NA,"0.1","21","5","3.2","11.75","14.75","2.675","0.04","0.45","0.14"
"2016-09-30","1.6","9","33","3.4","1.6","9","33","3.4","0.1","10","1.6","33","1.6","3.4","8.66666666666667","23","3.2","0.18","0.41","0.06"
"2016-10-07","0.1","12","40","3.6","1.6","9","13","3","0.1","12","0.1","40","0.1","3.6","10.5","20.75","3","0.12","0.65","0.14"
"2017-05-01","0.1","8","19","2.9","0.1","8","19","2.9","0.1","8","0.1","19","0.1","2.9","8","19","2.9",NA,NA,NA
"2017-05-08","9","2","19","2.5","1.6","7","8","2.8","3.8","11",NA,NA,"1.6","2.8","9.5","10.75","2.7","0.18","0.18","0.03"
"2017-05-15","8","6","24","2.5","6.2","8","15","2.8","3.8","12","5","18","1.6","2.7","7.5","11.25","2.45","0.41","0.41","0.1"
"2017-05-22","5","3","19","2.3","3.8","4","8","2.5","0.1","9","5","19","3.8","2.5","6","10.5","2.25","0.49","0.54","0.09"
"2017-05-29","3.8","9","8","2.4","3.8","9","8","2.4","3.8","9","0.1","17",NA,NA,"7.66666666666667","12.3333333333333","2.33333333333333","0.2","0.37","0.05"
"2017-06-05","5","4","24","3.7","3.8","7","24","2.7",NA,NA,"6.2","56","5","3.7","6.4","31.4","2.88","0.28","0.44","0.17"
"2017-06-12","5","5","15","2.5","5","5","15","2.5",NA,NA,"0.1","22","5","2.5","6.25","17.25","2.375","0.33","0.21","0.04"
"2017-06-19","1.6","8","14","2.7","1.6","8","14","2.7","1.6","8","6.2","37",NA,NA,"6.8","18.2","2.6","0.12","0.63","0.04"
"2017-06-26","3.8","5","12","2.5","3.8","5","12","2.5","1.6","9","0.1","14","1.6","3.2","6.5","12.25","2.8","0.37","0.1","0.11"
