"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"shannon","1",92.87,0,0.28,-38.49,"Year",-0.73,0.13
"shannon","1",92.87,0,0.28,-38.49,"EM",-0.64,0.12
"shannon","1",92.87,0,0.28,-38.49,"Cmax_DIN_ugL",-0.06,0.12
"shannon","1",92.87,0,0.28,-38.49,"SRPmax_depth_m",-0.18,0.11
"shannon","1",92.87,0,0.28,-38.49,"DOCmax_depth_m",-0.43,0.12
"shannon","1",92.87,0,0.28,-38.49,"perc_light_thermocline",0.25,0.12
"shannon","2",93.61,0.74,0.29,-40.1,"Year",-0.77,0.13
"shannon","2",93.61,0.74,0.29,-40.1,"EM",-0.65,0.12
"shannon","2",93.61,0.74,0.29,-40.1,"SRPmax_depth_m",-0.17,0.11
"shannon","2",93.61,0.74,0.29,-40.1,"DOCmax_depth_m",-0.44,0.12
"shannon","2",93.61,0.74,0.29,-40.1,"perc_light_thermocline",0.25,0.11
"shannon","3",94.11,1.24,0.28,-37.81,"Year",-0.72,0.14
"shannon","3",94.11,1.24,0.28,-37.81,"EM",-0.64,0.12
"shannon","3",94.11,1.24,0.28,-37.81,"Cmax_DIN_ugL",-0.07,0.13
"shannon","3",94.11,1.24,0.28,-37.81,"SRPmax_depth_m",-0.19,0.11
"shannon","3",94.11,1.24,0.28,-37.81,"DINmax_depth_m",-0.04,0.15
"shannon","3",94.11,1.24,0.28,-37.81,"DOCmax_depth_m",-0.44,0.13
"shannon","3",94.11,1.24,0.28,-37.81,"perc_light_thermocline",0.23,0.12
"shannon","4",94.19,1.32,0.28,-37.85,"Year",-0.72,0.14
"shannon","4",94.19,1.32,0.28,-37.85,"EM",-0.64,0.13
"shannon","4",94.19,1.32,0.28,-37.85,"Cmax_DIN_ugL",-0.06,0.13
"shannon","4",94.19,1.32,0.28,-37.85,"SRPmax_depth_m",-0.19,0.12
"shannon","4",94.19,1.32,0.28,-37.85,"DINmax_ugL",0.01,0.15
"shannon","4",94.19,1.32,0.28,-37.85,"DOCmax_depth_m",-0.43,0.13
"shannon","4",94.19,1.32,0.28,-37.85,"perc_light_thermocline",0.25,0.14
"shannon","5",94.74,1.87,0.29,-39.42,"Year",-0.73,0.14
"shannon","5",94.74,1.87,0.29,-39.42,"EM",-0.69,0.13
"shannon","5",94.74,1.87,0.29,-39.42,"Cmax_DIN_ugL",-0.02,0.13
"shannon","5",94.74,1.87,0.29,-39.42,"SRPmax_ugL",0.11,0.12
"shannon","5",94.74,1.87,0.29,-39.42,"DOCmax_depth_m",-0.43,0.13
"shannon","5",94.74,1.87,0.29,-39.42,"perc_light_thermocline",0.29,0.12
"shannon","6",94.75,1.88,0.29,-39.43,"Year",-0.76,0.13
"shannon","6",94.75,1.88,0.29,-39.43,"EM",-0.65,0.12
"shannon","6",94.75,1.88,0.29,-39.43,"SRPmax_depth_m",-0.19,0.11
"shannon","6",94.75,1.88,0.29,-39.43,"DINmax_depth_m",-0.05,0.15
"shannon","6",94.75,1.88,0.29,-39.43,"DOCmax_depth_m",-0.44,0.12
"shannon","6",94.75,1.88,0.29,-39.43,"perc_light_thermocline",0.24,0.12
"shannon","7",94.84,1.97,0.29,-39.47,"Year",-0.76,0.14
"shannon","7",94.84,1.97,0.29,-39.47,"EM",-0.65,0.13
"shannon","7",94.84,1.97,0.29,-39.47,"SRPmax_depth_m",-0.19,0.12
"shannon","7",94.84,1.97,0.29,-39.47,"DINmax_ugL",-0.01,0.15
"shannon","7",94.84,1.97,0.29,-39.47,"DOCmax_depth_m",-0.45,0.13
"shannon","7",94.84,1.97,0.29,-39.47,"perc_light_thermocline",0.24,0.14
"richness","1",93.18,0,0.29,-39.89,"EM",-0.38,0.13
"richness","1",93.18,0,0.29,-39.89,"SRPmax_ugL",0.11,0.12
"richness","1",93.18,0,0.29,-39.89,"DINmax_ugL",0.46,0.14
