"Year","Date","HOx","EM1","EM2","EM3","Chem_Depth_m","Cmax_SRP_ugL","Cmax_DIN_ugL","Cmax_DOC_mgL","Grab_Chem_Depth_m","Grab_SRP_ugL","Grab_DIN_ugL","Grab_DOC_mgL","SRPmax_depth_m","SRPmax_ugL","DINmax_depth_m","DINmax_ugL","DOCmax_depth_m","DOCmax_mgL","pz_SRP_mean","pz_DIN_mean","pz_DOC_mean","pz_SRP_CV","pz_DIN_CV","pz_DOC_CV","Temp_DO_Depth_m","Grab_Temp_Depth_m","Temp_C_grab","Temp_C_Cmax","schmidt.stability","n2","thermo.depth","DO_mgL","pH","Kd","perc_light_thermocline","perc_light_Cmax","pz_depth_m","perc_light_grab","Max_biomass_ugL","Peak_depth_m","Peak_magnitude_ugL","Peak_width_m","pz_Temp_C","pz_DO_mgL","pz_pH","interp_pz_depth_m","WRT_day"
2016,2016-04-25,1,0,1,0,6.2,5,11,1.6,5,5,5,1.7,1.6,6,6.2,11,1.6,1.8,5.2,6.8,1.68,0.09,0.37,0.05,6.2,5,10.9,9.1,13.0039894057144,0.00317179241360836,3.31938825395016,9.05,5.76,0.788253033165957,6.45683151718357,1.05280804694049,6.2,2.68147527242246,17.63,5.99,10.1322580645161,4.29,14.0714285714286,9.65285714285714,6.37285714285714,NA,42.5562645961053
2016,2016-05-02,1,0,1,0,6.2,5,17,1.7,6.2,5,17,1.7,3.8,8,8,41,NA,NA,6.5,14.6666666666667,1.68333333333333,0.19,0.92,0.02,5.9,6.2,9.4,9.6,20.0167575088101,0.00452850753577879,3.05580212194591,10,NA,0.677543744393727,11.3644524236984,1.80610412926391,8,1.80610412926391,13.97,5.94,4.90257142857143,4.48,13.7555555555556,9.97333333333333,6.4225,NA,39.7911569113411
2016,2016-05-09,1,0,1,0,5,7,6,1.7,5,7,6,1.7,NA,NA,6.2,36,0.1,1.9,6.2,13,1.8,0.13,0.99,0.04,4.7,5,11.2,12,13.5938465924251,0.00312571355156841,4.21465340248426,8.46,NA,0.745579127755567,9.15249134427217,3.80852024687641,6.2,3.80852024687641,9.61,4.68,2.82333333333333,4.16,14.4142857142857,9.27428571428571,6.37285714285714,NA,43.0043136366289
2016,2016-05-16,1,0,1,0,6.2,9,16,1.3,5,10,4,1.4,0.1,12,6.2,16,3.8,1.7,9,9,1.48,0.33,0.6,0.1,5.608,4.997,11.1901,10.1831,12.6082799680227,0.0045136973968958,3.42121338205086,12.60979,6.62,0.716024095400322,10.4810495626822,1.49271137026239,6.2,3.59183673469388,15.98,5.61,6.84010752688172,5.21,14.4057377952756,9.37454448818898,6.85857142857143,2.569,45.6282020354039
2016,2016-05-23,1,0,1,0,6.2,NA,NA,1.4,6.2,NA,NA,1.4,3.8,16,0.1,24,NA,NA,10.75,13.5,1.56,0.33,0.64,0.09,5.842,6.001,10.373,10.3896,13.3449971763047,0.0043518886836738,3.29424610277806,13.38525,6.36,0.907754263913134,15.5263157894737,0.631578947368421,6.2,0.631578947368421,17.42,5.85,7.76051282051282,3.36,14.1037431924883,9.5935876056338,6.66714285714286,2.569,40.2263383860088
2016,2016-05-30,1,1,1,1,5,12,9,1.7,6.2,3,16,1.3,NA,NA,1.6,52,5,1.7,9.25,17.5,1.6,0.46,1.32,0.05,5.408,6.198,10.6469,10.7166,26.084392676875,0.0038714191114705,3.80345973213649,14.11117,6.72,0.879383833483033,3.12050739957717,1.19873150105708,5,0.413319238900634,9.09,5.41,2.03972222222222,2.37,17.7414910493827,9.76110465020576,6.90933333333333,2.569,46.3598582229282
2016,2016-06-06,1,1,1,1,3.8,7,17,1.6,3.8,7,17,1.6,5,15,0.1,19,0.1,1.9,9,14.25,1.725,0.45,0.37,0.07,3.681,3.797,16.4542,16.5932,35.6912306974633,0.00755328876260661,2.1859422217958,11.02286,6.41,1.04297440839534,3.17073170731707,1.83449477351916,5,1.83449477351916,14.43,3.68,4.94494382022472,4.43,18.7896023861171,9.92781,6.82833333333333,2.569,57.8461127021402
2016,2016-06-13,1,1,1,1,5,12,9,1.8,5,12,9,1.8,3.8,14,0.1,13,0.1,2.1,11.8,10.4,1.86,0.15,0.16,0.12,4.825,5.003,13.9289,14.3834,29.4337089392902,0.00423638299598883,3.92312293262218,6.25215,7.26,0.789965718097909,6.275,2.69166666666667,6.2,2.69166666666667,25.27,4.82,14.5055208333333,3.38,18.2445148387097,9.94807780645161,7.36714285714286,2.569,93.2171536563805
2016,2016-06-20,1,0,1,1,3.8,14,10,2.2,3.8,14,10,2.2,3.8,14,5,11,3.8,2.2,9.75,8.5,1.975,0.32,0.28,0.11,4.212,3.802,17.9427,16.6538,32.1920958182945,0.00744455459097667,3.38342222196581,8.9983,7.04,0.903609078698925,3.30082041932543,3.30082041932543,5,3.30082041932543,27.16,4.21,15.7170886075949,2.64,20.3817753816794,10.436310610687,7.14833333333333,2.569,75.6649950509799
2016,2016-06-27,1,1,1,2,5,4,10,1.6,5,4,10,1.6,NA,NA,0.1,11,3.8,2.1,6.75,8.75,1.925,0.28,0.24,0.12,4.596,5.005,13.9481,15.412,28.6585887306476,0.00613537425091527,3.40852224468792,4.7241,6.13,0.83743842364532,NA,NA,5.684,NA,22.83,4.59,12.1245299145299,3.47,21.0202555944056,7.39580688811189,6.90387096774194,2.569,60.3057729453775
2016,2016-07-05,1,1,1,2,3.8,7,14,1.8,3.8,7,14,1.8,1.6,10,8,55,0.1,2,7,23,1.68571428571429,0.31,0.95,0.11,3.052,3.801,19.939,21.2015,20.6349888674142,0.00544160587835016,5.30840317472779,8.57762,6.7,0.682609249779058,4.68571428571429,8.57142857142857,9,8.57142857142857,14.42,3.06,4.96637168141593,4.89,18.1201229249012,8.92368770750988,6.31714285714286,2.569,51.4639054896189
2016,2016-07-11,1,1,1,2,3.8,11,12,1.7,3.8,11,12,1.7,0.1,12,6.2,22,0.1,2,10.1666666666667,13.6666666666667,1.81666666666667,0.18,0.33,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631970260223048,NA,NA,7.532,NA,18.5,3.54,9.42144927536232,3.74,19.9732354243542,6.84328732472325,6.69285714285714,2.569,84.7346668568803
