"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"ar1",0.64,0.11
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"Cmax_SRP_ugL",-0.08,0.13
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"SRPmax_depth_m",0.05,0.12
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"DOCmax_mgL",0.29,0.1
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"thermo.depth",0.22,0.13
"Max_biomass_ugL","1",110.5,0,0.25,-47.47,"Kd",0.24,0.09
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"ar1",0.62,0.12
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"Cmax_SRP_ugL",-0.14,0.13
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"SRPmax_depth_m",0.06,0.11
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"DOCmax_mgL",0.24,0.1
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"Temp_C",0.2,0.14
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"thermo.depth",0.2,0.13
"Max_biomass_ugL","2",110.8,0.3,0.24,-46.38,"Kd",0.24,0.09
"Max_biomass_ugL","3",110.85,0.35,0.26,-48.85,"ar1",0.65,0.11
"Max_biomass_ugL","3",110.85,0.35,0.26,-48.85,"Cmax_DIN_ugL",-0.03,0.1
"Max_biomass_ugL","3",110.85,0.35,0.26,-48.85,"SRPmax_depth_m",0.04,0.12
"Max_biomass_ugL","3",110.85,0.35,0.26,-48.85,"DOCmax_mgL",0.27,0.1
"Max_biomass_ugL","3",110.85,0.35,0.26,-48.85,"Kd",0.28,0.09
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"ar1",0.62,0.12
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"Cmax_DIN_ugL",-0.01,0.1
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"SRPmax_depth_m",0.05,0.12
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"DOCmax_mgL",0.29,0.1
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"thermo.depth",0.18,0.12
"Max_biomass_ugL","4",110.9,0.41,0.25,-47.67,"Kd",0.25,0.1
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"ar1",0.64,0.11
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"Cmax_SRP_ugL",-0.06,0.12
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"SRPmax_depth_m",0.06,0.12
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"DOCmax_mgL",0.21,0.1
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"Temp_C",0.22,0.14
"Max_biomass_ugL","5",110.94,0.44,0.25,-47.69,"Kd",0.27,0.09
"Max_biomass_ugL","6",110.94,0.44,0.26,-48.89,"ar1",0.65,0.11
"Max_biomass_ugL","6",110.94,0.44,0.26,-48.89,"Cmax_SRP_ugL",0.01,0.12
"Max_biomass_ugL","6",110.94,0.44,0.26,-48.89,"SRPmax_depth_m",0.05,0.12
"Max_biomass_ugL","6",110.94,0.44,0.26,-48.89,"DOCmax_mgL",0.27,0.1
"Max_biomass_ugL","6",110.94,0.44,0.26,-48.89,"Kd",0.28,0.09
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"ar1",0.64,0.11
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"Cmax_DIN_ugL",-0.04,0.1
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"SRPmax_depth_m",0.06,0.12
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"DOCmax_mgL",0.22,0.1
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"Temp_C",0.2,0.13
"Max_biomass_ugL","7",110.96,0.47,0.25,-47.7,"Kd",0.27,0.09
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"ar1",0.56,0.15
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"Cmax_DIN_ugL",-0.04,0.1
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"SRPmax_depth_m",0.04,0.12
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"DOCmax_depth_m",-0.17,0.12
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"DOCmax_mgL",0.3,0.1
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"thermo.depth",0.24,0.13
"Max_biomass_ugL","8",111.37,0.87,0.25,-46.67,"Kd",0.23,0.1
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"ar1",0.57,0.15
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"Cmax_SRP_ugL",-0.03,0.13
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"SRPmax_depth_m",0.05,0.11
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"DOCmax_depth_m",-0.15,0.13
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"DOCmax_mgL",0.3,0.1
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"thermo.depth",0.25,0.13
"Max_biomass_ugL","9",111.48,0.98,0.25,-46.72,"Kd",0.22,0.1
"Max_biomass_ugL","10",111.72,1.23,0.26,-50.46,"ar1",0.65,0.11
"Max_biomass_ugL","10",111.72,1.23,0.26,-50.46,"SRPmax_depth_m",-0.01,0.11
"Max_biomass_ugL","10",111.72,1.23,0.26,-50.46,"DOCmax_mgL",0.25,0.1
"Max_biomass_ugL","10",111.72,1.23,0.26,-50.46,"Kd",0.26,0.09
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"ar1",0.61,0.12
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"Cmax_DIN_ugL",-0.02,0.1
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"SRPmax_depth_m",0.06,0.12
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"DOCmax_mgL",0.24,0.1
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"Temp_C",0.17,0.13
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"thermo.depth",0.15,0.12
"Max_biomass_ugL","11",111.83,1.33,0.25,-46.9,"Kd",0.25,0.09
"Max_biomass_ugL","12",112.05,1.56,0.25,-47.01,"ar1",0.64,0.11
"Max_biomass_ugL","12",112.05,1.56,0.25,-47.01,"Cmax_SRP_ugL",-0.07,0.13
"Max_biomass_ugL","12",112.05,1.56,0.25,-47.01,"SRPmax_depth_m",0.05,0.12
