"colnames.phytos2.","colSums.phytos2."
"Chlorophyte sp. 1",66
"Pseudanabaena",65
"Rhodomonas",64
"Cryptomonas",62
"Parvodinium",62
"Ankistrodesmus",52
"Cyclotella",44
"Dolichospermum",44
"Aphanocapsa",41
"Selenastrum",31
"Oocystis",28
"Trachelomonas",25
"Dinobryon",24
"Nitzchia",24
"Staurastrum",24
"Synedra",21
"Asterionella",17
"Dictyosphaerium",17
"Synura",13
"Spondylosium",12
"Woronichinia",10
"Prorocentrum",9
"Elakatothrix",8
"Staurodesmus",7
"Microcystis",6
"Gloeodinium",5
"Monomastix",5
"Euglena",4
"Fragilaria",4
"Chlorophyte sp. 4",3
"Micractinium",3
"Chlamydomonas",2
"Closterium",2
"Coccomyxa",2
"Gloeocystis",2
"Lepocinclis",2
"Merismopedia",2
"Nephrocytium",2
"Oochromonas",2
"Pandorina",2
"Pediastrum",2
"Schroederia",2
"Snowella",2
"Tetraselmis",2
"Tetraspora",2
"Actinotaenium",1
"Bambusina",1
"Chlorophyte sp. 3",1
"Cosmarium",1
"Desmid sp. 1",1
"Dunaliella",1
"Gonyostomum",1
"Kirchneriella",1
"Navicula",1
"Nephroselmis",1
"Peridinium",1
"Platydorina",1
"Polytomella",1
"unicell Cyanobacterium",1
"unicell Eukaryote",1
"Volvulina",1
"Ceratoneis",0
"Dactylococcopsis",0
"Eudorina",0
"Synechococcus",0
