"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",109.46,0,0.24,-49.32,"ar1",0.71,0.1
"Max_biomass_ugL","1",109.46,0,0.24,-49.32,"SRPmax_ugL",-0.2,0.13
"Max_biomass_ugL","1",109.46,0,0.24,-49.32,"DOCmax_mgL",0.29,0.1
"Max_biomass_ugL","1",109.46,0,0.24,-49.32,"Kd",0.24,0.09
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"ar1",0.69,0.11
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"Cmax_DIN_ugL",-0.06,0.1
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"SRPmax_ugL",-0.18,0.14
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"DOCmax_mgL",0.24,0.1
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"Temp_C",0.2,0.13
"Max_biomass_ugL","2",109.5,0.04,0.24,-46.97,"Kd",0.25,0.09
"Max_biomass_ugL","3",109.58,0.12,0.24,-48.22,"ar1",0.7,0.1
"Max_biomass_ugL","3",109.58,0.12,0.24,-48.22,"Cmax_DIN_ugL",-0.04,0.1
"Max_biomass_ugL","3",109.58,0.12,0.24,-48.22,"SRPmax_ugL",-0.17,0.14
"Max_biomass_ugL","3",109.58,0.12,0.24,-48.22,"DOCmax_mgL",0.29,0.1
"Max_biomass_ugL","3",109.58,0.12,0.24,-48.22,"Kd",0.26,0.09
"Max_biomass_ugL","4",109.73,0.27,0.24,-48.29,"ar1",0.7,0.1
"Max_biomass_ugL","4",109.73,0.27,0.24,-48.29,"SRPmax_ugL",-0.22,0.13
"Max_biomass_ugL","4",109.73,0.27,0.24,-48.29,"DOCmax_mgL",0.24,0.1
"Max_biomass_ugL","4",109.73,0.27,0.24,-48.29,"Temp_C",0.18,0.12
"Max_biomass_ugL","4",109.73,0.27,0.24,-48.29,"Kd",0.23,0.09
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"ar1",0.69,0.1
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"Cmax_DIN_ugL",-0.04,0.1
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"SRPmax_ugL",-0.17,0.14
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"DOCmax_mgL",0.26,0.1
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"Kd",0.2,0.1
"Max_biomass_ugL","5",110.62,1.16,0.24,-47.53,"perc_light_thermocline",-0.15,0.13
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"ar1",0.7,0.1
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"Cmax_DIN_ugL",-0.03,0.1
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"SRPmax_ugL",-0.15,0.14
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"DOCmax_mgL",0.32,0.1
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"schmidt.stability",-0.16,0.15
"Max_biomass_ugL","6",110.83,1.37,0.24,-47.64,"Kd",0.28,0.09
"Max_biomass_ugL","7",110.85,1.39,0.26,-48.85,"ar1",0.65,0.11
"Max_biomass_ugL","7",110.85,1.39,0.26,-48.85,"Cmax_DIN_ugL",-0.03,0.1
"Max_biomass_ugL","7",110.85,1.39,0.26,-48.85,"SRPmax_depth_m",0.04,0.12
"Max_biomass_ugL","7",110.85,1.39,0.26,-48.85,"DOCmax_mgL",0.27,0.1
"Max_biomass_ugL","7",110.85,1.39,0.26,-48.85,"Kd",0.28,0.09
