"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",-47.98,0,0,51.49,"HOx",0.76,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"EM",-6.21,0.01
"Max_biomass_ugL","1",-47.98,0,0,51.49,"Cmax_SRP_ugL",-1.55,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"Cmax_DIN_ugL",0.9,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"Cmax_DOC_mgL",0.43,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"SRPmax_depth_m",-0.24,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"DINmax_depth_m",-0.61,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"DINmax_ugL",1.41,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"DOCmax_depth_m",-0.79,0
"Max_biomass_ugL","1",-47.98,0,0,51.49,"Kd",-0.48,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"intercept",2.63,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"HOx",0.76,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"Cmax_SRP_ugL",-1.55,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"Cmax_DIN_ugL",0.9,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"Cmax_DOC_mgL",0.43,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"SRPmax_depth_m",-0.24,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"DINmax_depth_m",-0.61,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"DINmax_ugL",1.41,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"DOCmax_depth_m",-0.79,0
"Max_biomass_ugL","2",-47.98,0,0,51.49,"Kd",-0.48,0
"Peak_depth_m","1",-6.38,0,0,30.69,"HOx",-6.84,0.11
"Peak_depth_m","1",-6.38,0,0,30.69,"EM",-49.03,0.7
"Peak_depth_m","1",-6.38,0,0,30.69,"Cmax_DOC_mgL",-16.07,0.26
"Peak_depth_m","1",-6.38,0,0,30.69,"SRPmax_depth_m",2.68,0.04
"Peak_depth_m","1",-6.38,0,0,30.69,"DINmax_depth_m",2.41,0.04
"Peak_depth_m","1",-6.38,0,0,30.69,"DINmax_ugL",-3.13,0.07
"Peak_depth_m","1",-6.38,0,0,30.69,"DOCmax_depth_m",4.26,0.07
"Peak_depth_m","1",-6.38,0,0,30.69,"Temp_C",5.71,0.11
"Peak_depth_m","1",-6.38,0,0,30.69,"thermo.depth",13.01,0.23
"Peak_depth_m","1",-6.38,0,0,30.69,"Kd",-3.12,0.06
"Peak_depth_m","2",-6.38,0,0,30.69,"intercept",20.74,0.29
"Peak_depth_m","2",-6.38,0,0,30.69,"HOx",-6.84,0.11
"Peak_depth_m","2",-6.38,0,0,30.69,"Cmax_DOC_mgL",-16.07,0.26
"Peak_depth_m","2",-6.38,0,0,30.69,"SRPmax_depth_m",2.68,0.04
"Peak_depth_m","2",-6.38,0,0,30.69,"DINmax_depth_m",2.41,0.04
"Peak_depth_m","2",-6.38,0,0,30.69,"DINmax_ugL",-3.13,0.07
"Peak_depth_m","2",-6.38,0,0,30.69,"DOCmax_depth_m",4.26,0.07
"Peak_depth_m","2",-6.38,0,0,30.69,"Temp_C",5.71,0.11
"Peak_depth_m","2",-6.38,0,0,30.69,"thermo.depth",13.01,0.23
"Peak_depth_m","2",-6.38,0,0,30.69,"Kd",-3.12,0.06
"Peak_depth_m","3",-5.45,0.93,0,30.22,"intercept",4.86,0.02
"Peak_depth_m","3",-5.45,0.93,0,30.22,"HOx",-2.02,0.03
"Peak_depth_m","3",-5.45,0.93,0,30.22,"Cmax_SRP_ugL",0.81,0.02
"Peak_depth_m","3",-5.45,0.93,0,30.22,"Cmax_DIN_ugL",0.26,0.02
"Peak_depth_m","3",-5.45,0.93,0,30.22,"Cmax_DOC_mgL",-2.41,0.03
"Peak_depth_m","3",-5.45,0.93,0,30.22,"SRPmax_depth_m",1.2,0.01
"Peak_depth_m","3",-5.45,0.93,0,30.22,"DINmax_depth_m",0.25,0.01
"Peak_depth_m","3",-5.45,0.93,0,30.22,"DINmax_ugL",0.38,0.03
"Peak_depth_m","3",-5.45,0.93,0,30.22,"DOCmax_depth_m",1.28,0.02
"Peak_depth_m","3",-5.45,0.93,0,30.22,"Kd",-0.54,0.02
"Peak_depth_m","4",-5.45,0.93,0,30.22,"HOx",-2.02,0.03
"Peak_depth_m","4",-5.45,0.93,0,30.22,"EM",-11.5,0.04
