"Response.var","Rank","AICc","Del.AICc","Sigma.2","Log.likelihood","Covar","Covar.coefs","Covar.coef.SE"
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"ma1",-0.37,0.19
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"ma2",-0.49,0.18
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"drift",0.08,0.02
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"Year",-2.21,0.46
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"Cmax_DOC_mgL",0.16,0.11
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"SRPmax_depth_m",-0.03,0.09
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"DOCmax_depth_m",-0.12,0.09
"Max_biomass_ugL","1",126.24,0,0.21,-53.08,"Kd",0.15,0.08
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"ma1",-0.5,0.19
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"ma2",-0.42,0.18
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"drift",0.08,0.02
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"Year",-2.32,0.47
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"SRPmax_depth_m",-0.04,0.09
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"DINmax_depth_m",-0.04,0.09
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"DOCmax_depth_m",-0.14,0.1
"Max_biomass_ugL","2",127.06,0.82,0.23,-53.5,"Kd",0.12,0.09
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"ma1",-0.5,0.18
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"ma2",-0.4,0.17
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"drift",0.08,0.02
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"Year",-2.17,0.55
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"SRPmax_depth_m",-0.04,0.09
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"DINmax_ugL",0.05,0.14
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"DOCmax_depth_m",-0.13,0.1
"Max_biomass_ugL","3",127.08,0.85,0.23,-53.51,"Kd",0.12,0.09
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"ma1",-0.41,0.2
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"ma2",-0.46,0.18
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"drift",0.08,0.02
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"Year",-2.3,0.47
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"Cmax_DIN_ugL",-0.08,0.09
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"Cmax_DOC_mgL",0.16,0.12
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"SRPmax_depth_m",-0.02,0.09
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"DOCmax_depth_m",-0.14,0.09
"Max_biomass_ugL","4",127.13,0.89,0.22,-52.28,"Kd",0.16,0.08
"Max_biomass_ugL","5",127.63,1.4,0.23,-52.54,"ma1",-0.56,0.23
"Max_biomass_ugL","5",127.63,1.4,0.23,-52.54,"ma2",-0.37,0.19
